時間,顏色,型號,尺寸,厚度標準值(mm),厚度公差(mm),第1象限,第2象限,第3象限,第4象限,厚度結果(mm),厚度判定,外徑標準值(mm),外徑公差(mm),0~180,23~203,45~225,68~248,90~270,113~293,135~315,158~338,外徑結果(mm),外徑判定
05:02:05,Gray,E,150,9.2,0.7,7.43,9,9.59,7.62,8.41,NG,165,1,162.76,161.82,160.84,160.4,160.78,161.68,162.55,162.91,161.72,NG
05:08:30,Gray,E,150,9.2,0.7,7.31,9.04,9.54,7.61,8.38,NG,165,1,162.1,161.09,160.14,159.81,160.34,161.23,162.01,162.28,161.13,NG
05:14:54,Gray,E,150,9.2,0.7,7.16,9,9.34,7.38,8.22,NG,165,1,162.21,161.19,160.22,159.77,160.34,161.19,162.01,162.42,161.17,NG
05:21:18,Gray,E,150,9.2,0.7,7.02,8.84,9.52,7.34,8.18,NG,165,1,161.66,160.6,159.68,159.32,159.8,160.64,161.46,161.69,160.61,NG
05:27:42,Gray,E,150,9.2,0.7,7.04,9,9.51,7.43,8.25,NG,165,1,162.32,161.19,160.53,160.16,160.56,161.44,162.39,162.66,161.41,NG
05:34:06,Gray,E,150,9.2,0.7,7.06,8.81,9.39,7.45,8.18,NG,165,1,161.99,161.09,160.22,159.81,160.23,161.09,162.01,162.32,161.1,NG
05:40:31,Gray,E,150,9.2,0.7,7.09,8.92,9.74,7.33,8.27,NG,165,1,161.66,160.6,159.76,159.32,159.69,160.5,161.31,161.93,160.6,NG
05:46:55,Gray,E,150,9.2,0.7,7.43,9.04,9.41,7.43,8.33,NG,165,1,162.43,161.58,160.69,160.26,160.67,161.68,162.47,162.77,161.57,NG
05:53:19,Gray,E,150,9.2,0.7,7.15,8.87,9.55,7.41,8.24,NG,165,1,162.98,162.03,161.15,160.55,161,161.97,162.78,163.21,161.96,NG
05:59:44,Gray,E,150,9.2,0.7,7.41,9,9.43,7.25,8.27,NG,165,1,161.55,160.5,159.6,159.08,159.58,160.5,161.31,161.69,160.48,NG
06:06:08,Gray,E,150,9.2,0.7,7.11,8.85,9.62,7.87,8.36,NG,165,1,163.2,162.31,161.31,160.89,161.33,162.03,162.86,163.32,162.16,NG
06:12:32,Gray,E,150,9.2,0.7,7.05,8.96,9.53,7.39,8.23,NG,165,1,161.88,160.74,159.83,159.57,160.02,160.95,161.77,162.07,160.85,NG
06:18:57,Gray,E,150,9.2,0.7,7.11,8.95,9.55,7.45,8.26,NG,165,1,161.77,160.74,159.6,159.32,159.91,160.64,161.62,162.03,160.7,NG
06:25:20,Gray,E,150,9.2,0.7,7.28,9.05,9.54,7.38,8.31,NG,165,1,162.87,162.03,161,160.75,161.22,162.03,162.86,163.26,162,NG
06:31:45,Gray,E,150,9.2,0.7,7.15,8.96,9.47,7.57,8.29,NG,165,1,162.32,161.19,160.3,159.91,160.23,161.23,162.01,162.42,161.2,NG
06:38:09,Gray,E,150,9.2,0.7,7.39,8.96,9.62,7.96,8.49,NG,165,1,161.77,160.5,159.68,159.47,159.8,160.6,161.31,161.83,160.62,NG
06:44:33,Gray,E,150,9.2,0.7,7.29,9,9.67,7.45,8.35,NG,165,1,162.21,161.29,160.53,160.02,160.45,161.33,162.08,162.28,161.27,NG
06:45:40,Gray,E,150,,,,,,,,Error,,,,,,,,,,,,Error
06:50:57,Gray,E,150,9.2,0.7,7.2,9,9.51,7.45,8.29,NG,165,1,162.21,161.09,160.3,159.81,160.34,161.19,162.24,162.52,161.21,NG
06:57:21,Gray,E,150,9.2,0.7,7.09,8.89,9.42,7.58,8.24,NG,165,1,161.77,160.74,159.91,159.71,160.02,160.95,161.7,161.93,160.84,NG
07:03:46,Gray,E,150,9.2,0.7,7.09,8.98,9.61,7.45,8.28,NG,165,1,162.1,161.09,159.99,159.77,160.23,161.09,161.77,162.32,161.05,NG
07:10:10,Gray,E,150,9.2,0.7,7.48,9.07,9.67,8.01,8.56,NG,165,1,163.2,162.41,161.15,160.99,161.55,162.41,163.17,163.56,162.31,NG
07:16:34,Gray,E,150,9.2,0.7,7.28,9.04,9.47,7.5,8.32,NG,165,1,162.32,161.29,160.53,160.26,160.56,161.44,162.32,162.52,161.4,NG
07:22:58,Gray,E,150,9.2,0.7,7.3,9.2,12.14,8.02,9.17,NG,165,1,162.87,162.17,161.23,160.89,161,161.82,162.7,163.01,161.96,NG
07:29:22,Gray,E,150,9.2,0.7,7.11,9,9.57,7.38,8.26,NG,165,1,162.1,160.99,160.22,159.91,160.23,161.19,162.08,162.56,161.16,NG
07:35:46,Gray,E,150,9.2,0.7,7.48,9.01,9.42,7.5,8.35,NG,165,1,161.88,160.8,159.91,159.67,160.02,160.85,161.62,162.03,160.85,NG
07:42:10,Gray,E,150,9.2,0.7,7.52,9.05,9.63,7.45,8.41,NG,165,1,162.1,161.19,160.38,160.16,160.45,161.33,162.01,162.28,161.24,NG
07:48:34,Gray,E,150,9.2,0.7,7.15,8.91,9.58,7.57,8.3,NG,165,1,162.43,161.58,160.53,160.3,160.56,161.33,162.32,162.52,161.45,NG
07:54:58,Gray,E,150,9.2,0.7,6.95,9,9.59,7.35,8.22,NG,165,1,162.76,161.78,160.92,160.85,161.11,162.03,162.86,163.11,161.93,NG
08:01:22,Gray,E,150,9.2,0.7,7.4,9,9.59,7.96,8.49,NG,165,1,162.98,162.23,161.15,161.24,161.33,162.07,162.86,163.26,162.14,NG
08:07:46,Gray,E,150,9.2,0.7,7.2,9.07,9.54,7.43,8.31,NG,165,1,162.98,162.03,161.07,160.95,161.22,162.03,162.7,163.26,162.03,NG
08:14:10,Gray,E,150,9.2,0.7,7.11,9.05,9.49,7.81,8.37,NG,165,1,162.1,161.23,160.22,160.06,160.34,161.19,161.93,162.18,161.16,NG
08:20:34,Gray,E,150,9.2,0.7,7.15,8.96,9.59,7.63,8.33,NG,165,1,161.44,160.7,159.76,159.57,159.8,160.6,161.46,161.73,160.63,NG
08:26:58,Gray,E,150,9.2,0.7,7.12,9.45,9.54,7.97,8.52,NG,165,1,162.43,161.48,160.69,165.62,160.67,161.44,162.24,162.52,162.13,NG
08:33:22,Gray,E,150,9.2,0.7,7.39,8.96,9.51,7.96,8.46,NG,165,1,161.88,160.6,159.83,160.65,159.8,160.74,161.38,162.03,160.87,NG
08:39:46,Gray,E,150,9.2,0.7,7.15,8.92,9.54,7.43,8.26,NG,165,1,162.21,161.23,160.38,165.47,160.45,161.44,162.24,162.52,161.99,NG
08:46:10,Gray,E,150,9.2,0.7,7.11,9.12,9.63,7.3,8.29,NG,165,1,162.65,161.58,160.69,166.9,160.67,161.68,162.39,162.87,162.43,NG
08:52:34,Gray,E,150,9.2,0.7,7.86,9.07,9.67,7.93,8.64,NG,165,1,162.87,162.03,161.15,167.63,161.11,162.07,163.01,163.26,162.89,NG
08:58:58,Gray,E,150,9.2,0.7,7.11,9.13,9.77,7.45,8.37,NG,165,1,162.87,161.82,160.84,167.49,161.11,161.93,162.86,163.26,162.77,NG
09:05:22,Gray,E,150,9.2,0.7,7.16,8.92,9.39,8.54,8.5,NG,165,1,162.76,161.58,160.53,174.97,160.78,161.68,162.55,162.91,163.47,NG
09:11:01,Gray,E,150,9.2,0.7,7.17,9.04,9.62,8.02,8.46,NG,165,1,162.43,161.48,160.61,175.56,160.67,161.44,162.24,162.52,163.37,NG
09:16:45,Gray,E,150,9.2,0.7,7.46,9.05,9.52,7.72,8.44,NG,165,1,162.54,161.54,160.69,167.84,160.89,161.68,162.39,162.62,162.52,NG
09:23:43,Gray,E,150,9.2,0.7,7.15,9,9.71,7.34,8.3,NG,165,1,162.76,161.82,161,167.88,161.11,161.78,162.63,163.01,162.75,NG
09:31:01,Gray,E,150,9.2,0.7,7.16,9.2,9.9,7.79,8.51,NG,165,1,163.41,162.52,161.62,167.29,161.44,162.27,163.17,163.6,163.16,NG
09:37:25,Gray,E,150,9.2,0.7,7.1,9,9.57,7.54,8.3,NG,165,1,161.99,160.99,160.38,175.66,160.12,160.95,161.77,162.18,163,NG
09:43:49,Gray,E,150,9.2,0.7,7.01,9.06,9.49,7.58,8.28,NG,165,1,161.99,160.99,160.14,175.7,160.23,160.99,161.93,162.28,163.03,NG
09:50:13,Gray,E,150,9.2,0.7,7.11,8.92,9.59,7.55,8.29,NG,165,1,161.88,160.95,160.07,175.8,160.12,160.85,161.54,161.97,162.9,NG
09:56:38,Gray,E,150,9.2,0.7,7.08,9.05,9.75,7.52,8.35,NG,165,1,162.54,161.54,160.76,175.56,160.67,161.54,162.39,162.77,163.47,NG
10:03:02,Gray,E,150,9.2,0.7,7.01,9.05,9.43,7.45,8.24,NG,165,1,161.77,160.8,159.76,176,160.02,160.85,161.62,162.03,162.86,NG
10:09:26,Gray,E,150,9.2,0.7,7.1,9.07,9.78,7.5,8.36,NG,165,1,162.76,161.68,160.69,175.31,160.67,161.58,162.39,162.77,163.48,NG
10:15:50,Gray,E,150,9.2,0.7,7.78,9.15,9.62,7.6,8.54,NG,165,1,162.87,161.82,160.92,167.59,160.89,161.72,162.39,167.49,163.21,NG
10:22:14,Gray,E,150,9.2,0.7,7.21,9.05,9.62,7.74,8.4,NG,165,1,162.54,161.54,160.84,166.21,160.89,161.68,162.39,162.77,162.36,NG
10:28:38,Gray,E,150,9.2,0.7,8.28,9,9.62,7.4,8.58,NG,165,1,162.54,161.82,160.92,166.07,160.67,161.58,162.39,162.77,162.34,NG
10:35:03,Gray,E,150,9.2,0.7,7.08,9,9.69,7.33,8.27,NG,165,1,162.43,161.58,160.84,165.47,160.78,161.58,162.39,162.66,162.22,NG
10:41:27,Gray,E,150,9.2,0.7,7.13,9.01,9.67,7.94,8.44,NG,165,1,162.65,162.03,161.15,166.55,161.11,161.93,162.63,163.11,162.64,NG
10:47:51,Gray,E,150,9.2,0.7,6.96,9.13,9.55,7.45,8.27,NG,165,1,162.87,161.93,161.15,167.25,161.11,162.03,162.86,162.97,162.77,NG
10:54:15,Gray,E,150,9.2,0.7,7.08,9.07,9.86,7.32,8.33,NG,165,1,162.1,161.09,160.22,175.07,160.34,161.23,161.85,162.38,163.04,NG
11:00:39,Gray,E,150,9.2,0.7,7.2,9,9.47,7.6,8.32,NG,165,1,162.98,161.93,161.15,167.25,161.11,161.93,162.86,163.21,162.8,NG
11:07:03,Gray,E,150,9.2,0.7,7.08,9.15,9.54,7.45,8.3,NG,165,1,162.87,161.82,160.84,167.74,161,162.07,162.7,163.01,162.76,NG
11:12:53,Gray,E,150,9.2,0.7,7.87,8.95,9.6,7.65,8.52,NG,165,1,162.21,163.11,160.69,174.82,160.45,161.09,162.01,162.28,163.33,NG
11:19:55,Gray,E,150,9.2,0.7,7.08,8.98,9.51,7.73,8.32,NG,165,1,162.54,161.68,160.92,168.47,161,161.78,162.39,162.77,162.69,NG
11:24:53,Gray,E,150,9.2,0.7,6.91,8.87,9.42,7.24,8.11,NG,165,1,162.32,161.44,160.69,166.55,160.45,161.23,162.16,162.52,162.17,NG
11:31:49,Gray,E,150,9.2,0.7,6.74,9.08,10.05,7.25,8.28,NG,165,1,162.21,161.44,160.61,167,159.91,160.5,161.46,161.93,161.88,NG
11:39:19,Gray,E,150,9.2,0.7,7.3,9.04,9.95,7.43,8.43,NG,165,1,161.77,160.74,159.91,164.54,160.02,160.85,161.77,162.03,161.45,NG
11:45:47,Gray,E,150,9.2,0.7,7.01,9,9.75,7.58,8.34,NG,165,1,161.99,161.19,160.14,164.4,160.12,160.85,161.54,162.18,161.55,NG
11:52:15,Gray,E,150,9.2,0.7,7.06,9.05,9.77,7.55,8.36,NG,165,1,162.1,161.33,160.53,165.82,160.45,161.09,161.77,162.07,161.9,NG
11:58:43,Gray,E,150,9.2,0.7,7.07,9.05,9.72,7.45,8.32,NG,165,1,161.33,160.6,159.45,174.38,159.69,160.6,161.31,161.63,162.37,NG
12:05:11,Gray,E,150,9.2,0.7,7.15,9.05,9.9,7.38,8.37,NG,165,1,162.54,161.58,160.92,168.82,160.89,161.78,162.47,163.01,162.75,NG
12:11:39,Gray,E,150,9.2,0.7,7.16,9.13,10.08,7.66,8.51,NG,165,1,162.65,161.78,160.92,167,160.89,161.68,162.55,163.01,162.56,NG
12:18:07,Gray,E,150,9.2,0.7,7.03,9,9.56,7.38,8.24,NG,165,1,162.43,161.44,160.45,166.07,160.45,161.19,162.08,162.42,162.07,NG
12:24:35,Gray,E,150,9.2,0.7,8.28,9.09,9.55,7.45,8.59,NG,165,1,161.66,160.85,159.76,160.85,160.02,160.85,161.54,162.03,160.94,NG
12:31:03,Gray,E,150,9.2,0.7,7.93,8.99,9.96,8.03,8.73,NG,165,1,162.65,161.58,160.61,166.27,160.78,161.58,162.55,162.77,162.35,NG
12:37:32,Gray,E,150,9.2,0.7,7.75,9,9.54,8.09,8.59,NG,165,1,161.99,161.33,160.22,160.85,160.34,161.19,162.32,162.28,161.32,NG
12:43:59,Gray,E,150,9.2,0.7,7.02,9.2,9.78,7.68,8.42,NG,165,1,162.65,161.68,160.92,166.31,161,161.93,162.7,162.87,162.51,NG
12:50:28,Gray,E,150,9.2,0.7,7.24,9.12,9.7,7.58,8.41,NG,165,1,162.65,161.68,160.84,167.15,161,161.78,162.55,162.87,162.56,NG
12:56:57,Gray,E,150,9.2,0.7,6.99,9.05,9.83,7.78,8.41,NG,165,1,162.21,161.33,160.38,165.47,160.45,161.29,162.08,162.56,161.97,NG
13:03:25,Gray,E,150,9.2,0.7,7.09,9.17,10.15,7.55,8.49,NG,165,1,162.98,162.03,161.07,164.09,160.89,161.68,162.63,162.91,162.28,NG
13:09:54,Gray,E,150,9.2,0.7,7.13,9.12,9.66,7.6,8.38,NG,165,1,162.43,161.44,160.69,166.45,160.56,161.33,162.08,162.42,162.18,NG
13:16:23,Gray,E,150,9.2,0.7,7.12,9,9.72,7.62,8.36,NG,165,1,161.88,161.19,160.14,163.95,160.12,160.95,161.62,162.03,161.49,NG
13:22:51,Gray,E,150,9.2,0.7,7.36,9.12,9.83,7.6,8.48,NG,165,1,161.99,160.95,160.22,164.64,160.34,161.19,161.93,162.18,161.68,NG
13:29:20,Gray,E,150,9.2,0.7,7.05,9.05,9.53,7.67,8.32,NG,165,1,162.32,161.19,160.3,160.4,160.45,161.54,162.32,162.52,161.38,NG
13:35:49,Gray,E,150,9.2,0.7,8.13,9.01,9.9,7.8,8.71,NG,165,1,161.22,160.25,159.45,160.65,159.58,160.36,161.15,161.44,160.51,NG
